Token Name,Price (USD)
Bitcoin,63488
Ethereum,2463.88
Tether,0.998742
BNB,573.3
Solana,148.13
USDC,0.998329
XRP,0.540034
Lido Staked Ether,2464.58
Dogecoin,0.11182
TRON,0.155829
Toncoin,5.26
Cardano,0.357186
Avalanche,27.09
Shiba Inu,1.80E-05
Wrapped stETH,2921.49
Wrapped Bitcoin,63487
WETH,2468.99
Chainlink,11.47
Bitcoin Cash,329.43
Polkadot,4.2
Dai,0.999224
NEAR Protocol,5.23
Sui,2.06
Uniswap,7.37
LEO Token,6.02
Litecoin,65.61
Bittensor,622.7
Pepe,1.04E-05
Aptos,8.59
Wrapped eETH,2589.53
Artificial Superintelligence Alliance,1.52
Internet Computer,8.33
Kaspa,0.143357
POL (ex-MATIC),0.383178
Ethereum Classic,18.75
Stellar,0.091676
Monero,147.35
dogwifhat,2.72
Stacks,1.81
First Digital USD,0.995203
OKB,41.77
Ethena USDe,0.998678
Immutable,1.52
Aave,150.18
Filecoin,3.77
Cronos,0.079931
Render,5.44
Optimism,1.69
Injective,21.23
Hedera,0.054075
Arbitrum,0.562126
Mantle,0.603764
VeChain,0.02352394
Fantom,0.679011
Cosmos Hub,4.61
THORChain,5.21
WhiteBIT Coin,11.61
The Graph,0.172651
Bonk,2.24E-05
Sei,0.439728
Binance-Peg WETH,2460.09
Bitget Token,1.067
FLOKI,0.00014272
Popcat,1.39
Rocket Pool ETH,2769.28
Theta Network,1.33
Arweave,19.48
Maker,1402.78
Pyth Network,0.336874
Mantle Staked Ether,2567.06
MANTRA,1.42
Helium,7.03
Solv Protocol SolvBTC,63386
Celestia,5.51
Gate,8.89
Jupiter,0.794131
Ondo,0.733593
Algorand,0.12701
Polygon,0.380645
Worldcoin,1.98
Quant,68.48
Lido DAO,1.1
JasmyCoin,0.02004401
KuCoin,8.05
Bitcoin SV,46.41
BitTorrent,9.33E-07
Brett,0.090711
Core,0.95636
GALA,0.02175299
Wormhole,0.3301
Fasttoken,2.58
Notcoin,0.00826284
ether.fi Staked ETH,2463.29
Flow,0.5469
Conflux,0.185787
Beam,0.01593459
Ethena,0.296374
Renzo Restaked ETH,2520.5
Aerodrome Finance,1.25
Starknet,0.40231
Marinade Staked SOL,181.99
Klaytn,0.133309
ORDI,36.6
Flare,0.0153985
USDD,0.997435
NEO,10.39
PayPal USD,0.998821
EOS,0.479433
Axie Infinity,4.75
MultiversX,25.91
Nervos Network,0.01574402
Mog Coin,1.80E-06
eCash,3.51E-05
Tokenize Xchange,8.6
Tezos,0.671618
Neiro,0.00159576
Eigenlayer,3.52
Tether Gold,2640.43
cat in a dogs world,0.0072551
Frax,0.995331
Pendle,3.98
Mina Protocol,0.540542
Arbitrum Bridged WBTC (Arbitrum One),63295
Akash Network,2.52
The Sandbox,0.259438
SATS (Ordinals),2.91E-07
Kelp DAO Restaked ETH,2530.93
dYdX,0.910067
Chiliz,0.064036
